log_lambda,lambda,avg_train_error_no_noise,avg_test_error_no_noise,avg_train_error_with_noise,avg_test_error_with_noise,error_ratio_no_noise,error_ratio_with_noise,sparsity_ratio_no_noise,sparsity_ratio_with_noise
0.0,1.0,0.9381362830461496,1.0821413406969476,0.9439259928581631,1.0887494266444855,1.1535012132599864,1.1534266826870652,0.751,0.7689999999999999
0.08126770916449574,1.0846612314544049,0.9395516491964007,1.0797201018396536,0.9450499782032347,1.08610599156479,1.1491865324946628,1.149257728813175,0.733,0.751
0.16253541832899143,1.176489987020186,0.9411679185288875,1.0772376797522902,0.9463627713449585,1.0834293601020104,1.144575434993672,1.1448351445210114,0.714,0.734
0.24380312749348718,1.2760930781150917,0.9430097146368179,1.0747240534624967,0.9478952984791951,1.0807229336347486,1.139674424113866,1.1401290156926218,0.6990000000000001,0.717
0.32507083665798286,1.3841286895587572,0.9451203143145529,1.0721394724299773,0.9496717891680937,1.0779973447028557,1.1343946968355503,1.1351262162343208,0.677,0.6910000000000001
0.40633854582247864,1.5013107289081733,0.9475211642579862,1.0695342180531784,0.9517168602437346,1.0752791893018419,1.1287707952051307,1.129830976228017,0.6569999999999999,0.6609999999999999
0.4876062549869744,1.6284135440132494,0.9502465514311146,1.0670099003270204,0.9540443979055414,1.0726477634660874,1.1228768983376523,1.124316400600351,0.6309999999999999,0.636
0.5688739641514702,1.766277039966443,0.953295734047264,1.064598634865954,0.9567021991312631,1.0700902939289583,1.1167558993956137,1.1185197388494117,0.605,0.612
0.6501416733159658,1.915812229259643,0.9566776102431452,1.0623196622912041,0.9596866445639334,1.0675579617619233,1.1104259689125675,1.1124026449768976,0.5700000000000001,0.584
0.7314093824804615,2.0780072518241726,0.9603721691490932,1.0602020619346735,0.9629845831919097,1.0651322185597567,1.103949173031567,1.10607400902439,0.534,0.545
0.8126770916449573,2.2539339047347906,0.9644570712810238,1.0583096708237982,0.9666895452816494,1.062961872117962,1.0973113291793448,1.0995897052018526,0.509,0.514
0.8939448008094532,2.4447547247264736,0.9689454534076611,1.0565900105632884,0.9707248071982217,1.061170384424811,1.0904535511750348,1.0931732418455855,0.46900000000000003,0.48200000000000004
0.9752125099739487,2.651730670325791,0.9737574598445271,1.0551221448230348,0.9751691737063451,1.0595715328103106,1.0835574445730034,1.0865515044770906,0.43100000000000005,0.44700000000000006
1.0564802191384446,2.876229454360987,0.978959750314074,1.0539941465547416,0.9801219856839276,1.0581472024402678,1.0766470697253843,1.079607658940427,0.4000000000000001,0.421
1.1377479283029404,3.119734581912619,0.9845641455942429,1.0532387923287845,0.9855067775452451,1.0570407737947523,1.0697513179226046,1.072586001313647,0.371,0.388
1.219015637467436,3.383855153428234,0.9906599244565959,1.0528180717236082,0.9913275919352287,1.0563207025893289,1.0627441826730881,1.065561688369052,0.34299999999999997,0.35900000000000004
1.3002833466319317,3.670336497780802,0.9972594375256275,1.0529221703229354,0.9976529290905539,1.0560906945596413,1.0558156992080383,1.0585752457243407,0.315,0.325
1.3815510557964275,3.9810717055349722,1.0043423525152957,1.053618310470859,1.0042526666700526,1.056450264212361,1.0490629095070576,1.0519765585640788,0.289,0.29
1.462818764960923,4.318114138633851,1.0118679813202054,1.054919227236065,1.011043544838842,1.057484466691823,1.042546307137508,1.0459336515128868,0.257,0.25
1.5440864741254188,4.683690999171269,1.0196092768381546,1.0568815864649985,1.018223373715991,1.0590725316872587,1.0365554830399608,1.0401180713640361,0.22399999999999998,0.231
1.6253541832899145,5.0802180469130205,1.0276252566207378,1.0596355793628986,1.0259607078212587,1.0614437516692725,1.0311498014825211,1.0345851878902517,0.19899999999999998,0.21199999999999997
1.7066218924544105,5.510315562821569,1.0359014885632638,1.0632444123399933,1.0345037192624633,1.06493610565114,1.0263952934507823,1.0294173774555138,0.17099999999999999,0.188
1.787889601618906,5.976825664072415,1.0443109066500678,1.067960322409845,1.043439558637254,1.0696246478650304,1.0226459530482543,1.025094974606842,0.15,0.16799999999999998
1.8691573107834019,6.482831084981076,1.0532607750937255,1.0738728634346346,1.0530522202740706,1.0753034187749169,1.0195697863514142,1.0211301947543068,0.135,0.14899999999999997
1.9504250199478976,7.031675547946469,1.062974037126305,1.081192832392893,1.0630118787828196,1.0822302620401103,1.0171394546153183,1.0180791801492344,0.13000000000000003,0.12999999999999998
2.031692729112393,7.626985859023444,1.0733804493856287,1.09002413349536,1.073622653747257,1.0907806798693365,1.0155058573306954,1.0159814307775574,0.10899999999999999,0.11199999999999999
2.1129604382768887,8.2726958741337,1.0842238584568389,1.1003984406442062,1.0847947858277383,1.1009387774529171,1.0149181205165403,1.014882069711333,0.099,0.10699999999999998
2.1942281474413847,8.973072494285633,1.0962355537122572,1.1125552364393623,1.097360469914467,1.113000550027894,1.0148870219286728,1.0142524544506748,0.098,0.1
2.2754958566058807,9.732743861581504,1.1103245912140594,1.1268907079700652,1.1114563380347513,1.1272750387424222,1.0149200665166678,1.0142324085673406,0.098,0.097
2.356763565770376,10.556729942333291,1.1266801895768048,1.1436816465280617,1.127785413308716,1.1439968788807984,1.015089869431043,1.0143746012147123,0.096,0.095
2.438031274934872,11.450475699382817,1.1455385276258048,1.1631424026432762,1.146666965161352,1.163416372881648,1.015367335618084,1.0146070378141043,0.094,0.094
2.5192989840993674,12.419887072831301,1.1676390118829265,1.1859718071843202,1.1687807257114666,1.1862109933129346,1.015700738939709,1.0149132058888615,0.094,0.094
2.6005666932638634,13.471370006941845,1.193640010316726,1.212841020484416,1.1946504835721226,1.2128772177481446,1.0160860979874453,1.0152569596100798,0.094,0.093
2.6818344024283594,14.61187278110748,1.224134737111816,1.2443540113911438,1.2244286581493655,1.2435004660541509,1.016517196731981,1.0155760874901532,0.093,0.092
2.763102111592855,15.848931924611133,1.258974504345,1.280247346805242,1.259258569447541,1.2792997584867147,1.016896960491912,1.0159150706021927,0.09,0.091
